"Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Matrícula;Location;Address"
"440551.1557;4473771.451;41787;01  CENTRO;01-02 EMBAJADORES;MAGDALENA, CALLE, DE LA;25;301210009;440551.1557:4473771.451; CALLE  DE LA MAGDALENA 25"
"440770.542;4473098.34;41789;01  CENTRO;01-02 EMBAJADORES;MALLORCA, CALLE, DE;13;301210062;440770.542:4473098.34; CALLE  DE MALLORCA 13"
"440946.935;4473534.7;41788;01  CENTRO;01-02 EMBAJADORES;MARQUES DE TOCA, CALLE, DEL;1;301210029;440946.935:4473534.7; CALLE  DEL MARQUES DE TOCA 1"
"440519.2;4473010.16;41789;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;85;301210072;440519.2:4473010.16; CALLE  DEL MESON DE PAREDES 85"
"440463.706;4473077.122;41789;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;19;301210071;440463.706:4473077.122; CALLE  DE MIGUEL SERVET 19"
"439860.7817;4473262.138;41788;01  CENTRO;01-02 EMBAJADORES;MIRA EL RIO BAJA, CALLE, DE;9;301210045;439860.7817:4473262.138; CALLE  DE MIRA EL RIO BAJA 9"
"440083.6876;4473195.671;41788;01  CENTRO;01-02 EMBAJADORES;MIRA EL SOL, CALLE, DE;15;301210049;440083.6876:4473195.671; CALLE  DE MIRA EL SOL 15"
"440466.5698;4473547.771;41787;01  CENTRO;01-02 EMBAJADORES;OLIVAR, CALLE, DEL;32;301210026;440466.5698:4473547.771; CALLE  DEL OLIVAR 32"
"440655.8677;4473668.707;41787;01  CENTRO;01-02 EMBAJADORES;OLMO, CALLE, DEL;30;301210016;440655.8677:4473668.707; CALLE  DEL OLMO 30"
"440575.4564;4473490.109;41787;01  CENTRO;01-02 EMBAJADORES;PRIMAVERA, CALLE, DE LA;3;301210027;440575.4564:4473490.109; CALLE  DE LA PRIMAVERA 3"
"439654.4628;4473182.712;41788;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;301210046;439654.4628:4473182.712; GLORIETA  DE LA PUERTA DE TOLEDO 1"
"439975.8364;4473389.545;41787;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;6;301210025;439975.8364:4473389.545; CALLE  DE LA RIBERA DE CURTIDORES 6"
"439974.8785;4473218.242;41788;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;18;301210048;439974.8785:4473218.242; CALLE  DE LA RIBERA DE CURTIDORES 18"
"440000.6491;4473116.844;41789;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;39;301210055;440000.6491:4473116.844; CALLE  DE LA RIBERA DE CURTIDORES 39"
"440764.9597;4473478.597;41788;01  CENTRO;01-02 EMBAJADORES;SALITRE, CALLE, DEL;14;301210030;440764.9597:4473478.597; CALLE  DEL SALITRE 14"
"440835.9284;4473499.723;41788;01  CENTRO;01-02 EMBAJADORES;SAN COSME Y SAN DAMIAN, CALLE, DE;2;301210032;440835.9284:4473499.723; CALLE  DE SAN COSME Y SAN DAMIAN 2"
"440820.6761;4473618.881;41787;01  CENTRO;01-02 EMBAJADORES;SAN ILDEFONSO, CALLE, DE;1;301210028;440820.6761:4473618.881; CALLE  DE SAN ILDEFONSO 1"
"439863.3114;4473459.351;41787;01  CENTRO;01-02 EMBAJADORES;SANTA ANA, CALLE, DE;10;301210023;439863.3114:4473459.351; CALLE  DE SANTA ANA 10"
"440730.92;4473615.745;41787;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;26;301210017;440730.92:4473615.745; CALLE  DE SANTA ISABEL 26"
"440959.6;4473436.171;41788;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;FRENTE 48 B;301210034;440959.6:4473436.171; CALLE  DE SANTA ISABEL FRENTE 48 B"
"440666.7904;4473234.718;41788;01  CENTRO;01-02 EMBAJADORES;SOMBRERERIA, CALLE, DE LA;14 A;301210051;440666.7904:4473234.718; CALLE  DE LA SOMBRERERIA 14 A"
"440158.239;4473779.576;41789;01  CENTRO;01-02 EMBAJADORES;TIRSO DE MOLINA, PLAZA, DE;14;301210054;440158.239:4473779.576; PLAZA  DE TIRSO DE MOLINA 14"
"439939.723;4473722.493;41787;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;49;301210010;439939.723:4473722.493; CALLE  DE TOLEDO 49"
"439672.3971;4473278.32;41788;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;115;301210035;439672.3971:4473278.32; CALLE  DE TOLEDO 115"
"440128.3394;4473020.428;41789;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;9;301210068;440128.3394:4473020.428; RONDA  DE TOLEDO 9"
"440233.2312;4472994.401;41789;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;38;301210069;440233.2312:4472994.401; RONDA  DE TOLEDO 38"
"440656.71;4473585.989;41787;01  CENTRO;01-02 EMBAJADORES;TORRECILLA DEL LEAL, CALLE, DE LA;13;301210018;440656.71:4473585.989; CALLE  DE LA TORRECILLA DEL LEAL 13"
"440695.5187;4473479.698;41788;01  CENTRO;01-02 EMBAJADORES;TORRECILLA DEL LEAL, CALLE, DE LA;32;301210031;440695.5187:4473479.698; CALLE  DE LA TORRECILLA DEL LEAL 32"
"440611.4721;4473157.973;41789;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;15;301210058;440611.4721:4473157.973; CALLE  DE VALENCIA 15"
"440560.497;4473271.54;41788;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;FRENTE 8;301210043;440560.497:4473271.54; CALLE  DE VALENCIA FRENTE 8"
"440637.7417;4473053.655;41789;01  CENTRO;01-02 EMBAJADORES;VALENCIA, RONDA, DE;2;301210063;440637.7417:4473053.655; RONDA  DE VALENCIA 2"
"441038.6431;4473625.483;41788;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;7;301310023;441038.6431:4473625.483; CALLE  DE ALMADEN 7"
