FID;Modelo;Fabricante;Situación;ENLACE;GRAD_X;GRAD_Y
166;JSA 018 Bicicleta adap;Fundiciones Benito;Avda. Los Majuelos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA018D.pdf;-16,31205759;28,44303199
167;JSA 019 Manivelas adap;Fundiciones Benito;Avda. Los Majuelos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA019D.pdf;-16,31369347;28,44206476
168;JSA 003 Pectorales adap;Fundiciones Benito;Avda. Los Majuelos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/JSA003D.pdf;-16,31259542;28,44271501
169;PF13 Bike;Novatilu;Pza. Nuestra Sra. de la Merced;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF13.pdf;-16,30541431;28,43553424
170;PF3 Torax;Novatilu;Pza. Nuestra Sra. de la Merced;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF3.pdf;-16,30538529;28,43555924
171;PF3 Torax;Novatilu;Agana;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF3.pdf;-16,30652728;28,42501437
172;PF6 Step;Novatilu;Agana;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF6.pdf;-16,30653669;28,42504001
173;PF1 HIP;Novatilu;Eladio Roca y Salazar;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF1.pdf;-16,275629;28,46593142
174;PF3 Torax;Novatilu;Eladio Roca y Salazar;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF3.pdf;-16,27565145;28,46590709
175;PF13 Bike;Novatilu;Eladio Roca y Salazar;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF13.pdf;-16,27566999;28,46593586
176;PF8 Row;Novatilu;Eladio Roca y Salazar;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF8.pdf;-16,27568969;28,46590914
177;PF4 Up;Novatilu;Eladio Roca y Salazar;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF4.pdf;-16,27570824;28,46593871
178;PF6 Step;Novatilu;Pza. Manuel Castañeda;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF6.pdf;-16,26558281;28,45730176
179;PF8 Row;Novatilu;Pza. Manuel Castañeda;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF8.pdf;-16,26560817;28,45731177
180;PF1 HIP;Novatilu;Pza. Manuel Castañeda;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF1.pdf;-16,26563354;28,45732179
181;PF10 Pull;Novatilu;Pza. Manuel Castañeda;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF01.pdf;-16,26566889;28,45731121
182;PF4 Up;Novatilu;Pza. Manuel Castañeda;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF4.pdf;-16,26568981;28,45729172
183;PF26 Pulse;Novatilu;Pza. Manuel Castañeda;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF26.pdf;-16,26570258;28,45727592
